"Story","Title","Result","Date","Stability","Duration (s)"
"Neural net IT","The actor sees the most likely label on top","SUCCESS","2021-12-07T20:28:13.075015+01:00[Europe/Berlin]","0.0","1.52"
"Neural net IT","Actor trains neural net","SUCCESS","2021-12-07T20:28:14.6661+01:00[Europe/Berlin]","0.0","2.52"
"Neural net IT","Actor can ask neural net","SUCCESS","2021-12-07T20:28:17.263648+01:00[Europe/Berlin]","0.0","1.04"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-07T20:28:18.43436+01:00[Europe/Berlin]","0.0","0.07"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-07T20:28:18.504844+01:00[Europe/Berlin]","0.0","0.01"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-07T20:28:18.515263+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-07T20:28:18.656586+01:00[Europe/Berlin]","0.0","0.04"
"Building custom neural net IT","Where two input and one output neurons are wired","SUCCESS","2021-12-07T20:28:18.6998+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-07T20:28:18.718386+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-07T20:28:18.736721+01:00[Europe/Berlin]","0.0","0.02"
