"Story","Title","Result","Date","Stability","Duration (s)"
"Basic neuron model test","Neurons have input weight","SUCCESS","2021-12-04T01:02:43.215322+01:00[Europe/Berlin]","0.0","0.07"
"Basic neuron model test","Output is generated","SUCCESS","2021-12-04T01:02:43.311224+01:00[Europe/Berlin]","0.0","0.02"
"Basic neuron model test","Output from multiple inputs is generated","SUCCESS","2021-12-04T01:02:43.331472+01:00[Europe/Berlin]","0.0","0.02"
"Basic neuron model test","Neurons accepts multiple inputs","SUCCESS","2021-12-04T01:02:43.355629+01:00[Europe/Berlin]","0.0","0.03"
"Basic neuron model test","When accepting an input its weighted and converted by the sigmoid function and sent to the output","SUCCESS","2021-12-04T01:02:43.393796+01:00[Europe/Berlin]","0.0","0.45"
"Basic neuron model test","Neurons accept input","SUCCESS","2021-12-05T23:39:30.03966+01:00[Europe/Berlin]","0.0","0.02"
"Basic neuron model test","Output from multiple inputs is taken into account","SUCCESS","2021-12-05T23:39:30.059203+01:00[Europe/Berlin]","0.0","0.06"
"Basic neuron model test","Neurons keep track of multiple inputs","SUCCESS","2021-12-05T23:39:30.120217+01:00[Europe/Berlin]","0.0","0.02"
"Basic neuron model test","Neurons send out value between zero and one","SUCCESS","2021-12-05T23:39:30.142742+01:00[Europe/Berlin]","0.0","0.02"
"Basic neuron model test","When accepting an input the sigmoid function is applied and sent to the output","SUCCESS","2021-12-05T23:39:30.161721+01:00[Europe/Berlin]","0.0","0.19"
"Basic neuron model test","Neurons have bias","SUCCESS","2021-12-05T23:39:30.36172+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Neurons have sigmoid function","SUCCESS","2021-12-05T23:39:30.37294+01:00[Europe/Berlin]","0.0","0.01"
