"Story","Title","Result","Date","Stability","Duration (s)"
"Json place holder IT","When there are many posts","SUCCESS","2021-12-04T00:47:47.23633+01:00[Europe/Berlin]","0.0","0.34"
"Linking neurons test","The output of one neuron is used as input","SUCCESS","2021-12-04T00:47:36.678395+01:00[Europe/Berlin]","0.0","0.54"
"Basic neuron model test","Neurons have input weight","SUCCESS","2021-12-04T00:47:38.365639+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Neurons accept input","SUCCESS","2021-12-04T00:47:38.383028+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Output is generated","SUCCESS","2021-12-04T00:47:38.39871+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Output from multiple inputs is generated","SUCCESS","2021-12-04T00:47:38.411169+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Neurons accepts multiple inputs","SUCCESS","2021-12-04T00:47:38.424448+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","When accepting an input its weighted and converted by the sigmoid function and sent to the output","SUCCESS","2021-12-04T00:47:38.437802+01:00[Europe/Berlin]","0.0","0.17"
"Basic neuron model test","Neurons have sigmoid function","SUCCESS","2021-12-04T00:47:38.606169+01:00[Europe/Berlin]","0.0","0.01"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-04T00:47:43.689898+01:00[Europe/Berlin]","0.0","0.19"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-04T00:47:43.87806+01:00[Europe/Berlin]","0.0","0.02"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-04T00:47:43.895753+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-04T00:47:44.075957+01:00[Europe/Berlin]","0.0","0.03"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-04T00:47:44.139507+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-04T00:47:44.16242+01:00[Europe/Berlin]","0.0","0.02"
