"Story","Title","Result","Date","Stability","Duration (s)"
"Json place holder IT","When posting","SUCCESS","2021-12-04T00:20:09.902513+01:00[Europe/Berlin]","0.0","2.76"
"Json place holder IT","When there are many posts","SUCCESS","2021-12-04T00:20:12.663489+01:00[Europe/Berlin]","0.0","0.24"
"Report navigator IT","When tracing errors","SUCCESS","2021-12-04T00:19:59.446629+01:00[Europe/Berlin]","0.0","4.46"
"Linking neurons test","The output of one neuron is used as input","SUCCESS","2021-12-04T00:19:55.039965+01:00[Europe/Berlin]","0.0","0.48"
"Basic neuron model test","Neurons have input weight","SUCCESS","2021-12-04T00:19:56.660582+01:00[Europe/Berlin]","0.0","0.03"
"Basic neuron model test","Neurons accept input","SUCCESS","2021-12-04T00:19:56.690384+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Output is generated","SUCCESS","2021-12-04T00:19:56.706223+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Output from multiple inputs is generated","SUCCESS","2021-12-04T00:19:56.71792+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","Neurons accepts multiple inputs","SUCCESS","2021-12-04T00:19:56.727838+01:00[Europe/Berlin]","0.0","0.01"
"Basic neuron model test","When accepting an input its weighted and converted by the sigmoid function and sent to the output","SUCCESS","2021-12-04T00:19:56.737817+01:00[Europe/Berlin]","0.0","0.14"
"Basic neuron model test","Neurons have sigmoid function","SUCCESS","2021-12-04T00:19:56.877186+01:00[Europe/Berlin]","0.0","0.01"
"Neural net IT","The actor sees the most likely label on top","SUCCESS","2021-12-04T00:20:04.715895+01:00[Europe/Berlin]","0.0","1.27"
"Neural net IT","Actor trains neural net","SUCCESS","2021-12-04T00:20:06.05782+01:00[Europe/Berlin]","0.0","2.16"
"Neural net IT","Actor can ask neural net","SUCCESS","2021-12-04T00:20:08.281571+01:00[Europe/Berlin]","0.0","1.01"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-04T00:20:09.413352+01:00[Europe/Berlin]","0.0","0.12"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-04T00:20:09.53942+01:00[Europe/Berlin]","0.0","0.01"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-04T00:20:09.554611+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-04T00:20:09.681805+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-04T00:20:09.783125+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-04T00:20:09.798464+01:00[Europe/Berlin]","0.0","0.01"
